,varname,normal_list,alumina_list,diff_list,diffpercent_list
75,RadAllSkySWTOA_SU,-1277.375,-1277.36181640625,0.01318359375,-1.032084841961053e-07
76,RadAllSkySWTOA_ME,580.6566162109375,580.6566162109375,0.0,0.0
77,RadAllSkySWTOA_O3,27398.6484375,27398.6484375,0.0,0.0
78,RadAllSkySWTOA_BASE,-365620.6875,-365620.6875,0.0,-0.0
79,RadClrSkySWTOA_ST,-498.75537109375,-498.7551574707031,0.000213623046875,-4.283122734228073e-09
80,RadClrSkySWTOA_PM,-9586.3828125,-9586.365234375,0.017578125,-1.833655649248568e-08
81,RadClrSkySWTOA_DU,-686.2645263671875,-686.2596435546875,0.0048828125,-7.115058861992583e-08
82,RadClrSkySWTOA_SS,-4215.1904296875,-4215.193359375,0.0029296875,-6.950308767466995e-09
83,RadClrSkySWTOA_OA,-1226.9603271484375,-1226.95849609375,0.0018310546875,-1.492350361283099e-08
84,RadClrSkySWTOA_BC,247.91622924804688,247.9336395263672,0.0174102783203125,7.022645662657706e-07
85,RadClrSkySWTOA_AM,-392.77130126953125,-392.77105712890625,0.000244140625,-6.215846835318131e-09
86,RadClrSkySWTOA_NI,-285.7613220214844,-285.76116943359375,0.000152587890625,-5.3396971131568325e-09
87,RadClrSkySWTOA_SU,-1970.283447265625,-1970.269775390625,0.013671875,-6.939039669126763e-08
88,RadClrSkySWTOA_ME,586.3837890625,586.3837890625,0.0,0.0
89,RadClrSkySWTOA_O3,22980.83984375,22980.83984375,0.0,0.0
90,RadClrSkySWTOA_BASE,-260561.3125,-260561.296875,0.015625,-5.996669210053968e-10
91,RadAllSkyLWTOA_ST,130.42919921875,130.42919921875,0.0,0.0
92,RadAllSkyLWTOA_PM,355.8358154296875,355.8358154296875,0.0,0.0
93,RadAllSkyLWTOA_DU,38.479156494140625,38.479156494140625,0.0,0.0
94,RadAllSkyLWTOA_SS,142.33839416503906,142.33839416503906,0.0,0.0
95,RadAllSkyLWTOA_OA,14.520586013793945,14.520586013793945,0.0,0.0
96,RadAllSkyLWTOA_BC,2.1526689529418945,2.1526689529418945,0.0,0.0
97,RadAllSkyLWTOA_AM,3.3100452423095703,3.3100452423095703,0.0,0.0
98,RadAllSkyLWTOA_NI,7.206923484802246,7.206923484802246,0.0,0.0
99,RadAllSkyLWTOA_SU,17.238967895507812,17.238967895507812,0.0,0.0
100,RadAllSkyLWTOA_ME,1114.5943603515625,1114.5943603515625,0.0,0.0
101,RadAllSkyLWTOA_O3,12800.134765625,12800.134765625,0.0,0.0
102,RadAllSkyLWTOA_BASE,-730591.0,-730591.0,0.0,-0.0
103,RadClrSkyLWTOA_ST,172.42564392089844,172.42564392089844,0.0,0.0
104,RadClrSkyLWTOA_PM,483.31646728515625,483.31646728515625,0.0,0.0
105,RadClrSkyLWTOA_DU,44.51270294189453,44.51270294189453,0.0,0.0
106,RadClrSkyLWTOA_SS,207.3787841796875,207.3787841796875,0.0,0.0
107,RadClrSkyLWTOA_OA,18.4422664642334,18.4422664642334,0.0,0.0
108,RadClrSkyLWTOA_BC,2.731487274169922,2.731487274169922,0.0,0.0
109,RadClrSkyLWTOA_AM,4.479333877563477,4.479333877563477,0.0,0.0
110,RadClrSkyLWTOA_NI,9.043342590332031,9.043342590332031,0.0,0.0
111,RadClrSkyLWTOA_SU,24.023357391357422,24.023357391357422,0.0,0.0
112,RadClrSkyLWTOA_ME,1425.098388671875,1425.098388671875,0.0,0.0
113,RadClrSkyLWTOA_O3,16804.1640625,16804.1640625,0.0,0.0
114,RadClrSkyLWTOA_BASE,-797604.5625,-797604.5625,0.0,-0.0
115,RadClrSkyLWSurf_BASE,872285.75,872285.75,0.0,0.0
